src	trg	weight	src_type	trg_type	edge_type
2388	9343	0.9900	4	3	3#4
2432	3216	0.9900	1	1	1#1
5030	5655	0.9900	2	5	2#5
5691	8178	0.9900	1	1	1#1
5275	7113	0.9900	5	3	3#5
1267	2517	0.9900	4	1	1#4
2194	4994	0.9900	3	3	3#3
1324	1742	0.9900	4	5	4#5
1898	2212	0.9900	1	1	1#1
3374	6724	0.9900	1	4	1#4
2764	5403	0.9900	3	1	1#3
5539	8105	0.9900	4	3	3#4
3908	4866	0.9900	5	1	1#5
180	8287	0.9900	3	3	3#3
5810	7717	0.9900	4	3	3#4
6314	7676	0.9900	5	5	5#5
1662	2287	0.9900	5	4	4#5
2451	8740	0.9900	3	1	1#3
2129	6457	0.9900	5	2	2#5
825	863	0.9900	5	4	4#5
1449	2072	0.9900	3	1	1#3
6134	7481	0.9900	4	1	1#4
5637	5871	0.9900	1	3	1#3
1254	7208	0.9900	4	2	2#4
203	5392	0.9900	3	1	1#3
6297	9948	0.9900	1	1	1#1
4184	4185	0.9900	1	1	1#1
783	5372	0.9900	1	2	1#2
1741	7053	0.9900	5	1	1#5
7697	9083	0.9900	4	2	2#4
5964	5999	0.9900	2	2	2#2
317	580	0.9900	4	2	2#4
7662	7697	0.9900	4	4	4#4
3127	4259	0.9900	2	1	1#2
1407	1719	0.9900	2	4	2#4
3135	7531	0.9900	5	2	2#5
6125	8493	0.9900	5	5	5#5
2618	4482	0.9900	5	5	5#5
3800	4406	0.9900	4	2	2#4
6911	7531	0.9900	4	2	2#4
2504	7897	0.9900	5	5	5#5
5085	5437	0.9900	4	5	4#5
3263	8017	0.9900	5	2	2#5
2119	7745	0.9900	3	5	3#5
1684	2007	0.9900	2	3	2#3
1329	1738	0.9900	2	2	2#2
120	843	0.9900	4	4	4#4
3170	5832	0.9900	1	2	1#2
4063	4727	0.9900	2	1	1#2
3438	4093	0.9900	2	2	2#2
704	1455	0.9900	3	4	3#4
205	2149	0.9900	2	4	2#4
1299	1455	0.9900	1	4	1#4
747	3412	0.9900	5	5	5#5
5011	6321	0.9900	4	5	4#5
997	1506	0.9900	5	5	5#5
121	2621	0.9900	4	3	3#4
2085	3637	0.9900	4	3	3#4
178	1128	0.9900	4	1	1#4
3105	3735	0.9900	1	4	1#4
7051	8574	0.9900	5	2	2#5
802	865	0.9900	5	4	4#5
1598	1706	0.9900	3	4	3#4
716	1329	0.9900	3	2	2#3
348	2339	0.9900	3	2	2#3
7515	7530	0.9900	2	2	2#2
2637	2638	0.9900	4	2	2#4
79	1329	0.9900	2	2	2#2
3315	8275	0.9900	3	5	3#5
986	2631	0.9900	4	1	1#4
7061	8292	0.9900	2	1	1#2
6026	8574	0.9900	1	2	1#2
1960	1975	0.9900	4	4	4#4
5050	7627	0.9900	5	1	1#5
5040	8790	0.9900	2	5	2#5
9079	9211	0.9900	1	3	1#3
4106	4447	0.9900	1	4	1#4
118	5352	0.9900	3	3	3#3
3295	8665	0.9900	1	2	1#2
191	797	0.9900	2	1	1#2
3149	6017	0.9900	5	1	1#5
5001	6017	0.9900	5	1	1#5
1428	1945	0.9900	5	2	2#5
766	7622	0.9900	1	4	1#4
215	7627	0.9900	1	1	1#1
224	3801	0.9900	2	5	2#5
1255	1411	0.9900	1	3	1#3
5824	5999	0.9900	3	2	2#3
630	864	0.9900	2	1	1#2
278	1234	0.9900	3	3	3#3
1040	1197	0.9900	3	2	2#3
356	8470	0.9900	5	2	2#5
930	7102	0.9900	4	2	2#4
511	961	0.9900	3	5	3#5
636	6007	0.9900	1	4	1#4
705	885	0.9900	1	4	1#4
5016	5947	0.9900	1	4	1#4
6518	6556	0.9900	5	1	1#5
632	885	0.9900	1	4	1#4
4130	9700	0.9900	1	1	1#1
1211	1825	0.9900	5	5	5#5
1372	4497	0.9900	1	1	1#1
2896	3204	0.9900	3	1	1#3
5602	7602	0.9900	3	3	3#3
2735	4066	0.9900	5	1	1#5
83	782	0.9900	3	4	3#4
977	3492	0.9900	3	3	3#3
2466	7602	0.9900	5	3	3#5
2839	2965	0.9900	1	3	1#3
4180	5302	0.9900	3	4	3#4
2894	5314	0.9900	4	4	4#4
5053	5302	0.9900	4	4	4#4
588	1310	0.9900	4	1	1#4
766	1234	0.9900	1	3	1#3
6368	6383	0.9900	5	5	5#5
671	1958	0.9900	3	4	3#4
3770	3842	0.9900	5	2	2#5
4928	9872	0.9900	3	4	3#4
14	2125	0.9900	3	1	1#3
157	8810	0.9900	4	5	4#5
121	5754	0.9900	4	2	2#4
2510	2581	0.9900	3	3	3#3
1602	2275	0.9900	3	2	2#3
2677	3110	0.9900	1	3	1#3
2969	3444	0.9900	3	4	3#4
628	1062	0.9900	4	3	3#4
4117	4228	0.9900	1	1	1#1
17	5006	0.9900	5	1	1#5
2737	4345	0.9900	3	1	1#3
42	130	0.9900	3	2	2#3
1977	3863	0.9900	4	4	4#4
490	1262	0.9900	2	1	1#2
1110	7349	0.9900	3	2	2#3
2514	3135	0.9900	1	5	1#5
481	3640	0.9900	2	5	2#5
1583	3028	0.9900	5	3	3#5
710	3874	0.9900	1	2	1#2
6213	9441	0.9900	1	4	1#4
1266	2199	0.9900	1	4	1#4
1020	2199	0.9900	5	4	4#5
3872	9258	0.9900	4	1	1#4
380	1950	0.9900	5	3	3#5
5333	6431	0.9900	3	1	1#3
20	1478	0.9900	3	4	3#4
5185	5962	0.9900	4	1	1#4
2770	4972	0.9900	5	4	4#5
3766	7507	0.9900	2	4	2#4
7077	7227	0.9900	5	5	5#5
6345	6349	0.9900	2	2	2#2
1292	3761	0.9900	4	3	3#4
3816	3821	0.9900	2	2	2#2
5704	6877	0.9900	2	5	2#5
645	3813	0.9900	5	3	3#5
5208	7951	0.9900	5	4	4#5
5083	5107	0.9900	4	3	3#4
1241	2383	0.9900	1	3	1#3
1587	7193	0.9900	4	3	3#4
2507	7507	0.9900	5	4	4#5
3223	8774	0.9900	2	1	1#2
2516	2590	0.9900	2	2	2#2
1290	1837	0.9900	1	1	1#1
7544	7553	0.9900	2	5	2#5
3676	4506	0.9900	5	4	4#5
107	4251	0.9900	4	4	4#4
2579	7701	0.9900	5	1	1#5
5949	8284	0.9900	3	4	3#4
20	3781	0.9900	3	4	3#4
2035	8130	0.9900	4	5	4#5
1518	3774	0.9900	3	1	1#3
2041	6876	0.9900	3	3	3#3
822	7507	0.9900	5	4	4#5
3148	7573	0.9900	5	5	5#5
906	5883	0.9900	1	4	1#4
5244	8907	0.9900	2	3	2#3
3540	8501	0.9900	5	3	3#5
3133	6039	0.9900	3	3	3#3
2021	3419	0.9900	4	4	4#4
162	474	0.9900	3	4	3#4
5172	5641	0.9900	4	3	3#4
1955	1983	0.9900	3	1	1#3
1060	4849	0.9900	5	3	3#5
196	2778	0.9900	1	4	1#4
377	2916	0.9900	2	5	2#5
2677	3189	0.9900	1	2	1#2
2547	3796	0.9900	2	3	2#3
2668	5649	0.9900	5	4	4#5
5307	6998	0.9900	5	4	4#5
2775	3520	0.9900	2	1	1#2
7000	9506	0.9900	4	2	2#4
6887	7036	0.9900	4	4	4#4
5026	6428	0.9900	2	2	2#2
470	2935	0.9900	1	1	1#1
5335	7582	0.9900	3	5	3#5
3422	4612	0.9900	2	2	2#2
3185	8497	0.9900	1	1	1#1
675	6334	0.9900	5	1	1#5
2514	6567	0.9900	1	3	1#3
667	4385	0.9900	4	5	4#5
7251	8034	0.9900	2	4	2#4
1723	4086	0.9900	5	4	4#5
782	5635	0.9900	4	4	4#4
191	1751	0.9900	2	5	2#5
5221	6041	0.9900	3	4	3#4
5880	8692	0.9900	4	1	1#4
7422	8692	0.9900	2	1	1#2
2995	4284	0.9900	3	3	3#3
865	2111	0.9900	4	2	2#4
1936	3305	0.9900	3	3	3#3
2721	3133	0.9900	2	3	2#3
637	8282	0.9900	2	4	2#4
3165	3305	0.9900	4	3	3#4
828	847	0.9900	1	2	1#2
4323	9845	0.9900	5	1	1#5
1294	5049	0.9900	2	1	1#2
1587	4702	0.9900	4	4	4#4
1253	1901	0.9900	5	5	5#5
4380	7194	0.9900	2	5	2#5
879	3448	0.9900	5	1	1#5
332	2535	0.9900	4	2	2#4
2820	6095	0.9900	3	1	1#3
7672	8608	0.9900	3	3	3#3
161	900	0.9900	1	2	1#2
1017	4695	0.9900	5	2	2#5
1641	3207	0.9900	5	1	1#5
642	3207	0.9900	4	1	1#4
7744	8700	0.9900	2	4	2#4
2554	2764	0.9900	4	3	3#4
2520	2657	0.9900	1	1	1#1
942	5970	0.9900	1	4	1#4
3257	8439	0.9900	5	5	5#5
3430	4441	0.9900	5	1	1#5
60	2816	0.9900	1	2	1#2
3985	4310	0.9900	3	3	3#3
7880	9707	0.9900	3	1	1#3
4320	4532	0.9900	3	3	3#3
2696	8755	0.9900	2	5	2#5
5316	9707	0.9900	5	1	1#5
3755	4378	0.9900	1	2	1#2
7520	8755	0.9900	1	5	1#5
2536	5056	0.9900	4	5	4#5
627	3208	0.9900	3	5	3#5
4097	6325	0.9900	2	5	2#5
8894	9068	0.9900	3	4	3#4
3907	6820	0.9900	1	5	1#5
5197	5227	0.9900	5	4	4#5
970	2103	0.9900	1	4	1#4
5394	7931	0.9900	5	1	1#5
1919	3171	0.9900	2	3	2#3
8541	9303	0.9900	5	1	1#5
4088	4245	0.9900	2	4	2#4
647	2659	0.9900	5	3	3#5
5016	5386	0.9900	1	4	1#4
2501	3440	0.9900	2	3	2#3
2047	6432	0.9900	2	5	2#5
1563	9923	0.9900	3	4	3#4
658	5671	0.9900	2	4	2#4
2357	6439	0.9900	2	1	1#2
237	244	0.9900	5	2	2#5
3578	4186	0.9900	4	1	1#4
435	3086	0.9900	1	4	1#4
5	163	0.9900	5	4	4#5
158	159	0.9900	5	1	1#5
2627	3254	0.9900	3	3	3#3
2789	4338	0.9900	4	1	1#4
3291	4232	0.9900	5	1	1#5
1608	5671	0.9900	1	4	1#4
268	5251	0.9900	3	5	3#5
61	5450	0.9900	5	1	1#5
3589	6175	0.9900	2	5	2#5
2780	6806	0.9900	2	2	2#2
1657	5090	0.9900	3	5	3#5
1570	6665	0.9900	5	5	5#5
6568	9185	0.9900	3	5	3#5
4243	5103	0.9900	1	5	1#5
1409	4567	0.9900	2	4	2#4
5945	6931	0.9900	5	5	5#5
2574	3889	0.9900	2	5	2#5
7570	8160	0.9900	2	3	2#3
648	6579	0.9900	5	1	1#5
1889	6886	0.9900	3	2	2#3
1025	4456	0.9900	5	4	4#5
764	8401	0.9900	5	3	3#5
709	4782	0.9900	5	1	1#5
2565	5639	0.9900	5	4	4#5
3813	4135	0.9900	3	5	3#5
2604	3077	0.9900	5	3	3#5
990	2344	0.9900	4	1	1#4
191	881	0.9900	2	4	2#4
2526	5062	0.9900	2	5	2#5
5040	5075	0.9900	2	3	2#3
319	3447	0.9900	3	2	2#3
7742	8438	0.9900	3	1	1#3
79	422	0.9900	2	3	2#3
5924	7783	0.9900	2	5	2#5
3482	3496	0.9900	1	2	1#2
239	4614	0.9900	2	4	2#4
111	315	0.9900	3	4	3#4
430	1645	0.9900	5	3	3#5
1504	4055	0.9900	2	1	1#2
4	72	0.9900	1	5	1#5
62	2756	0.9900	5	5	5#5
1179	5642	0.9900	2	1	1#2
1485	3985	0.9900	4	3	3#4
9238	9247	0.9900	5	5	5#5
322	402	0.9900	1	4	1#4
4599	5849	0.9900	4	3	3#4
1959	5802	0.9900	1	2	1#2
5030	5802	0.9900	2	2	2#2
1320	8793	0.9900	2	2	2#2
2619	4458	0.9900	2	1	1#2
2077	2169	0.9900	5	3	3#5
4421	4538	0.9900	5	4	4#5
1262	1351	0.9900	1	5	1#5
5305	7807	0.9900	4	2	2#4
235	3114	0.9900	1	4	1#4
899	5869	0.9900	2	3	2#3
635	5860	0.9900	1	5	1#5
2639	2859	0.9900	5	4	4#5
1612	3478	0.9900	4	5	4#5
4439	4790	0.9900	3	1	1#3
4449	6323	0.9900	4	2	2#4
3297	4538	0.9900	1	4	1#4
2934	5127	0.9900	2	4	2#4
484	1614	0.9900	2	3	2#3
1078	3471	0.9900	5	3	3#5
6272	6274	0.9900	3	4	3#4
872	5706	0.9900	4	5	4#5
1575	6270	0.9900	5	2	2#5
192	484	0.9900	4	2	2#4
798	984	0.9900	1	2	1#2
1430	6273	0.9900	4	2	2#4
3076	7978	0.9900	3	3	3#3
5782	7978	0.9900	4	3	3#4
633	1887	0.9900	3	2	2#3
6253	6407	0.9900	1	4	1#4
2198	5596	0.9900	5	1	1#5
875	3624	0.9900	1	2	1#2
5804	8159	0.9900	5	5	5#5
2210	5471	0.9900	3	2	2#3
61	1309	0.9900	5	1	1#5
2071	6459	0.9900	3	1	1#3
5042	9123	0.9900	5	4	4#5
2427	3269	0.9900	4	4	4#4
6569	7502	0.9900	2	3	2#3
5003	5343	0.9900	1	5	1#5
9106	9419	0.9900	4	3	3#4
5792	8683	0.9900	4	1	1#4
4026	7744	0.9900	2	2	2#2
7065	7097	0.9900	1	1	1#1
2832	9298	0.9900	3	2	2#3
1359	1418	0.9900	3	2	2#3
1284	5030	0.9900	5	2	2#5
1172	1220	0.9900	5	3	3#5
1880	2064	0.9900	1	4	1#4
3802	7549	0.9900	3	2	2#3
100	7501	0.9900	5	4	4#5
2676	8771	0.9900	3	4	3#4
3937	4593	0.9900	4	3	3#4
3525	5736	0.9900	5	5	5#5
6934	8227	0.9900	3	2	2#3
1943	7411	0.9900	2	4	2#4
1973	2601	0.9900	3	4	3#4
1041	3713	0.9900	4	3	3#4
8483	9770	0.9900	1	5	1#5
3207	8132	0.9900	1	1	1#1
240	5304	0.9900	1	1	1#1
2896	5439	0.9900	3	5	3#5
788	4577	0.9900	3	4	3#4
1879	3301	0.9900	2	5	2#5
1274	3816	0.9900	4	2	2#4
1312	3816	0.9900	1	2	1#2
5883	8052	0.9900	4	3	3#4
4707	9746	0.9900	4	1	1#4
400	2893	0.9900	4	1	1#4
3284	3460	0.9900	4	5	4#5
3761	8926	0.9900	3	4	3#4
2314	5287	0.9900	5	4	4#5
68	5381	0.9900	2	4	2#4
6451	6684	0.9900	1	5	1#5
8497	8638	0.9900	1	3	1#3
3126	6142	0.9900	4	4	4#4
1005	2919	0.9900	2	3	2#3
1451	2095	0.9900	3	1	1#3
3003	6113	0.9900	3	1	1#3
1379	9436	0.9900	2	1	1#2
1589	2683	0.9900	5	1	1#5
1593	2923	0.9900	2	4	2#4
1665	2923	0.9900	2	4	2#4
5704	6035	0.9900	2	5	2#5
7788	7884	0.9900	2	5	2#5
5227	5618	0.9900	4	1	1#4
176	5020	0.9900	3	1	1#3
1401	4496	0.9900	1	2	1#2
3891	7546	0.9900	4	2	2#4
5534	6411	0.9900	1	2	1#2
989	7100	0.9900	5	5	5#5
5318	8457	0.9900	3	3	3#3
1533	1960	0.9900	2	4	2#4
1531	7642	0.9900	4	5	4#5
1254	2834	0.9900	4	4	4#4
862	2954	0.9900	3	5	3#5
5022	5081	0.9900	2	5	2#5
3438	5391	0.9900	2	4	2#4
962	4300	0.9900	4	5	4#5
2353	7424	0.9900	3	5	3#5
1630	5052	0.9900	2	3	2#3
823	832	0.9900	3	2	2#3
26	9109	0.9900	1	4	1#4
5339	7135	0.9900	4	1	1#4
6332	9534	0.9900	3	4	3#4
3140	7516	0.9900	2	3	2#3
1280	1283	0.9900	2	1	1#2
1624	4064	0.9900	3	5	3#5
1417	1516	0.9900	5	2	2#5
6876	7424	0.9900	3	5	3#5
5033	6422	0.9900	4	4	4#4
547	3596	0.9900	2	3	2#3
5680	6411	0.9900	3	2	2#3
3443	3486	0.9900	1	2	1#2
1954	8834	0.9900	2	5	2#5
752	1257	0.9900	4	4	4#4
5168	6020	0.9900	3	4	3#4
29	5118	0.9900	3	4	3#4
332	2032	0.9900	4	1	1#4
1946	7408	0.9900	1	5	1#5
7130	9633	0.9900	5	4	4#5
938	7828	0.9900	1	5	1#5
1230	9942	0.9900	4	1	1#4
6001	6099	0.9900	1	1	1#1
53	1381	0.9900	3	3	3#3
5356	6318	0.9900	1	2	1#2
42	6318	0.9900	3	2	2#3
8130	8286	0.9900	5	4	4#5
939	1879	0.9900	1	2	1#2
828	3296	0.9900	1	2	1#2
3165	5695	0.9900	4	3	3#4
5638	5695	0.9900	4	3	3#4
2914	5724	0.9900	2	2	2#2
317	1390	0.9900	4	5	4#5
8857	8861	0.9900	2	1	1#2
352	1567	0.9900	4	3	3#4
1057	5324	0.9900	4	1	1#4
157	1281	0.9900	4	2	2#4
397	1334	0.9900	3	5	3#5
74	4366	0.9900	1	2	1#2
20	1281	0.9900	3	2	2#3
5501	6733	0.9900	4	5	4#5
2064	6733	0.9900	4	5	4#5
6577	6941	0.9900	4	5	4#5
3060	8139	0.9900	3	1	1#3
5001	8638	0.9900	5	3	3#5
3462	8638	0.9900	4	3	3#4
212	275	0.9900	2	2	2#2
259	612	0.9900	2	4	2#4
169	1897	0.9900	2	3	2#3
2141	6487	0.9900	3	3	3#3
471	8985	0.9900	2	1	1#2
2501	3754	0.9900	2	5	2#5
3135	5189	0.9900	5	2	2#5
342	4247	0.9900	5	3	3#5
3520	8588	0.9900	1	3	1#3
3214	9468	0.9900	3	4	3#4
8386	8830	0.9900	2	4	2#4
8795	8950	0.9900	4	3	3#4
7885	8197	0.9900	3	4	3#4
3565	8253	0.9900	2	2	2#2
4555	9027	0.9900	5	5	5#5
196	5059	0.9900	1	3	1#3
2803	3818	0.9900	5	5	5#5
7716	8967	0.9900	1	4	1#4
2179	6145	0.9900	5	5	5#5
1582	2183	0.9900	5	3	3#5
264	739	0.9900	1	5	1#5
5245	8129	0.9900	4	2	2#4
782	1996	0.9900	4	3	3#4
283	6122	0.9900	1	1	1#1
1504	6372	0.9900	2	2	2#2
2657	5630	0.9900	1	5	1#5
69	3776	0.9900	4	1	1#4
5197	5473	0.9900	5	4	4#5
2516	2533	0.9900	2	2	2#2
1343	2515	0.9900	1	3	1#3
5322	6420	0.9900	5	5	5#5
3751	6420	0.9900	4	5	4#5
2877	5260	0.9900	2	4	2#4
5879	6369	0.9900	4	2	2#4
401	6181	0.9900	5	1	1#5
8820	9327	0.9900	1	2	1#2
1628	2008	0.9900	5	2	2#5
8405	8732	0.9900	3	4	3#4
479	6574	0.9900	3	3	3#3
1531	7742	0.9900	4	3	3#4
704	6956	0.9900	3	1	1#3
2229	4073	0.9900	5	4	4#5
45	691	0.9900	4	3	3#4
837	2102	0.9900	4	5	4#5
3755	8295	0.9900	1	1	1#1
8101	8518	0.9900	4	3	3#4
3302	7716	0.9900	5	1	1#5
614	5007	0.9900	4	5	4#5
380	2884	0.9900	5	5	5#5
470	2658	0.9900	1	3	1#3
5151	5357	0.9900	2	2	2#2
5258	5744	0.9900	3	5	3#5
7700	9347	0.9900	3	5	3#5
5079	9221	0.9900	3	1	1#3
6645	9221	0.9900	2	1	1#2
5954	6139	0.9900	4	4	4#4
1256	3913	0.9900	1	4	1#4
1704	5199	0.9900	3	2	2#3
5961	7192	0.9900	5	3	3#5
151	5089	0.9900	2	1	1#2
5166	5168	0.9900	1	3	1#3
4	5237	0.9900	1	4	1#4
5529	9293	0.9900	2	4	2#4
102	5082	0.9900	2	1	1#2
5411	9626	0.9900	2	2	2#2
1573	1733	0.9900	4	2	2#4
716	774	0.9900	3	1	1#3
1382	2799	0.9900	2	3	2#3
1057	2306	0.9900	4	2	2#4
4532	4898	0.9900	3	5	3#5
2579	2815	0.9900	5	1	1#5
112	723	0.9900	4	5	4#5
31	812	0.9900	2	5	2#5
188	1578	0.9900	1	5	1#5
879	2598	0.9900	5	2	2#5
5005	5688	0.9900	2	2	2#2
5473	5482	0.9900	4	3	3#4
3762	5482	0.9900	5	3	3#5
5002	5162	0.9900	5	1	1#5
1258	6301	0.9900	4	1	1#4
1943	4677	0.9900	2	2	2#2
3388	4677	0.9900	3	2	2#3
2829	8528	0.9900	5	3	3#5
3042	3603	0.9900	3	2	2#3
5049	5206	0.9900	1	2	1#2
3479	5206	0.9900	3	2	2#3
1635	6279	0.9900	3	2	2#3
723	7266	0.9900	5	3	3#5
6303	7241	0.9900	3	3	3#3
6730	9230	0.9900	5	5	5#5
532	1163	0.9900	1	3	1#3
3032	3639	0.9900	4	1	1#4
308	1183	0.9900	3	3	3#3
8803	9389	0.9900	2	2	2#2
667	8167	0.9900	4	2	2#4
949	7961	0.9900	4	2	2#4
5856	7707	0.9900	1	1	1#1
2512	2741	0.9900	2	3	2#3
